id,x,y,color,sourceRadius,targetRadius,sourceX,sourceY,targetX,targetY
4820550,317.7341849961483,891.7333392744378,#b394c9,1,1,317.7341849961483,891.7333392744378,888.3892508717344,1014.0069624910307
4820600,230.79981143589725,529.4706980361453,#9ccadd,2,3,230.79981143589725,529.4706980361453,777.8549640946721,800.8137498104118
4820610,248.9723012539246,685.1566699223084,#9ccadd,1,1,248.9723012539246,685.1566699223084,916.5650336455725,878.1541595355279
4820640,219.91267169670977,854.8086474228503,#b394c9,1,1,219.91267169670977,854.8086474228503,762.4014962795399,940.0334240477268
4820700,298.93512988843287,606.3645804611475,#9ccadd,1,1,298.93512988843287,606.3645804611475,892.1676948368721,935.7686606053672
4820760,318.68894068874744,617.8736715575217,#9ccadd,1,1,318.68894068874744,617.8736715575217,920.3255310668172,833.0240256827949
4820790,223.5683070179458,930.4496454821194,#b394c9,1,1,223.5683070179458,930.4496454821194,849.1833674763918,938.4952340378711
4820850,283.91034960021176,575.0386706810341,#9ccadd,1,1,283.91034960021176,575.0386706810341,811.6904638359526,802.6487127318065
4820960,292.32257452883664,607.5962884872923,#9ccadd,1,1,292.32257452883664,607.5962884872923,959.4391134699407,924.2339335004184
4820970,274.87198037333417,404.89118923938304,#d5ece6,1,1,274.87198037333417,404.89118923938304,936.769687101704,658.9137716315864
4821000,270.82377228882916,606.2929080613533,#9ccadd,1,1,270.82377228882916,606.2929080613533,775.4783240455458,903.4823577806685
4821030,321.6867632968443,894.7415720064367,#b394c9,1,1,321.6867632968443,894.7415720064367,956.3050508894089,811.0668923622344
4821060,396.7511341708621,873.9413072886522,#b394c9,1,2,396.7511341708621,873.9413072886522,1028.5250687665184,933.1825578551343
4821090,371.81962413578543,830.1858142041875,#b394c9,1,1,371.81962413578543,830.1858142041875,1033.233467397263,881.6812598113056
4821150,417.8414508086507,885.6088706539012,#b394c9,3,3,417.8414508086507,885.6088706539012,1053.1012133765298,932.0785642183606
4821180,256.88687514295435,363.6801259250275,#d5ece6,1,1,256.88687514295435,363.6801259250275,914.7481675437557,543.8086724068368
4821270,341.61149277123263,818.1702664834473,#b394c9,1,1,341.61149277123263,818.1702664834473,919.4538616557371,881.8999499017926
4821300,335.75013784739554,910.788069075267,#b394c9,1,1,335.75013784739554,910.788069075267,959.2757558642288,981.8664319247155
4821330,244.5477660427295,650.4586136688898,#9ccadd,1,1,244.5477660427295,650.4586136688898,907.1444079754446,635.9034545188135
4821360,256.3836362284513,636.5304798947769,#9ccadd,1,1,256.3836362284513,636.5304798947769,872.5599822884063,921.7409524126548
4821390,212.87929686094887,264.45368634120723,#d5ece6,2,2,212.87929686094887,264.45368634120723,908.2246553568544,772.8523471027697
4821420,433.57387371844885,911.9588520053967,#b394c9,3,4,433.57387371844885,911.9588520053967,1031.0692066965732,981.1982776870572
4821450,378.64618695181036,630.9151817882905,#9ccadd,1,1,378.64618695181036,630.9151817882905,856.1011713910116,969.6129020624859
4821480,172.2388713030917,902.84051895336,#b394c9,1,1,172.2388713030917,902.84051895336,741.6277192950791,954.4346579452688
4821540,213.65562517384234,665.0814317127974,#9ccadd,1,1,213.65562517384234,665.0814317127974,798.3113334338418,647.7708366278468
4821560,259.67667955829916,365.03403021855775,#d5ece6,1,1,259.67667955829916,365.03403021855775,868.210489030747,635.4416297250895
4821590,288.0238266713555,906.3189789546884,#b394c9,1,1,288.0238266713555,906.3189789546884,939.743637877257,835.652387949443
4821600,316.39062181733715,643.3435510500289,#9ccadd,1,1,316.39062181733715,643.3435510500289,804.0288268058521,944.5329248574886
4821630,282.93177329610035,819.476498172358,#b394c9,1,1,282.93177329610035,819.476498172358,778.5679246894528,972.0066071521734
4821660,387.7882829248598,270.79478034432196,#d5ece6,3,3,387.7882829248598,270.79478034432196,948.6353896268648,738.5625718618794
4821720,256.60988950775453,945.0332597867055,#b394c9,2,2,256.60988950775453,945.0332597867055,787.1638591177733,952.4967350244947
4821750,280.75363064749934,651.126115053073,#9ccadd,1,1,280.75363064749934,651.126115053073,863.5086388179753,882.488997770712
4821780,223.7128467402739,920.5360562279394,#b394c9,2,2,223.7128467402739,920.5360562279394,952.8342330661229,878.0925493862059
4821810,326.70247347913056,844.4037185158629,#b394c9,1,1,326.70247347913056,844.4037185158629,909.4892550291728,924.8414812952809
4821840,302.4722206511209,265.7942080018116,#d5ece6,1,1,302.4722206511209,265.7942080018116,821.7354387243344,592.4287928367744
4821900,307.6891069550375,643.0644807902963,#9ccadd,1,1,307.6891069550375,643.0644807902963,911.7863676246026,671.5529769707952
4821930,278.09256530753066,971.3051171367832,#b394c9,1,1,278.09256530753066,971.3051171367832,865.9628055892636,928.4693040356445
4821960,375.15349466842673,636.0683423495215,#9ccadd,1,1,375.15349466842673,636.0683423495215,918.2105961717183,852.3967689143911
4821990,294.82198841583147,810.6299969285959,#b394c9,1,1,294.82198841583147,810.6299969285959,1017.5683645815916,954.4462079127046
4822020,336.8509193993817,608.2338164193485,#9ccadd,1,1,336.8509193993817,608.2338164193485,950.9231610706597,389.28541176281794
4822050,251.5776214855425,887.9664498586257,#b394c9,1,1,251.5776214855425,887.9664498586257,948.1925351981598,1026.5371255394289
4822120,364.54011736594856,639.971943576884,#9ccadd,1,1,364.54011736594856,639.971943576884,935.605449793502,948.4146513600655
4822140,266.14699757740124,203.69171213431918,#d5ece6,1,1,266.14699757740124,203.69171213431918,822.8423583554896,524.8460446364816
4822170,220.9952653291948,283.4377666002887,#d5ece6,2,2,220.9952653291948,283.4377666002887,814.3287877006929,754.9221967795417
4822230,197.01830811748346,269.7770835521593,#d5ece6,1,1,197.01830811748346,269.7770835521593,801.464940933122,589.9327150594593
4822260,351.8342825042837,945.2940625545978,#b394c9,1,1,351.8342825042837,945.2940625545978,883.9518554697795,845.1076850761731
4822320,312.76660934585783,565.5264767518636,#9ccadd,1,1,312.76660934585783,565.5264767518636,828.2864349557302,874.380613429833
