id,diverse_1994,diverse_2016,total_1994,total_2016
0601890,0,1,132,130
0601950,-1,-1,5885,9000
0601980,0,-1,85,78
0602010,1,-1,367,339
0602070,1,1,175,80
0602100,0,1,2085,1667
0602160,1,1,7757,5985
0602220,1,0,506,555
0602250,-1,0,207,104
0602310,1,0,15837,7986
0602360,1,1,386,381
0602430,1,0,16322,18974
0602450,0,1,4600,3750
0602610,1,0,17537,18302
0602630,1,1,23709,29819
0602670,0,1,2285,1800
0602700,0,1,2158,1473
0602730,1,0,607,493
0602760,-1,1,485,747
0602820,1,1,13874,19640
0602850,1,1,14923,15381
0602970,1,1,8762,9466
0603000,0,1,975,511
0603030,0,1,1784,1424
0603060,0,1,516,451
0603090,1,1,354,254
0603180,1,0,962,964
0603270,0,-1,2309,3028
0603300,0,1,6024,4482
0603420,1,1,4712,4954
0603480,0,1,2875,1210
0603600,1,-1,11400,8582
0603610,1,0,212,124
0603630,1,0,26190,30316
0603690,0,-1,15979,13279
0603720,-1,0,130,129
0603750,1,1,338,373
0603780,0,0,177,87
0603840,1,1,4657,4298
0603870,1,1,274,361
0604020,1,1,7079,5999
0604080,0,1,1209,864
0604110,0,-1,5693,3643
0604200,1,1,445,368
0604230,0,1,3350,2470
0604260,0,1,1728,1810
0604290,1,1,3387,9459
0604350,-1,0,515,361
0604380,1,0,1354,1755
0604440,1,1,11724,11896
0604500,0,1,239,147
0604530,1,1,2126,4212
0604560,1,-1,65,32
0604620,1,1,5009,4786
0604650,0,1,863,1030
0604740,1,1,8018,9567
0604800,1,1,8760,7292
0604830,0,1,5032,3988
0604860,0,1,116,55
0604890,0,1,68,18
0604950,1,1,322,171
0604980,-1,1,212,179
0605010,0,0,406,147
0605040,1,1,845,613
0605190,0,1,28,32
0605220,0,0,469,213
0605240,-1,0,2200,1051
0605250,0,1,10,11
0605280,1,1,141,197
0605400,0,1,298,169
0605490,0,1,24,20
0605520,-1,1,212,85
0605580,1,-1,9735,16868
0605610,1,1,9846,10083
0605640,-1,-1,280,163
0605700,1,0,418,411
0605730,0,1,43,74
0605790,0,-1,3801,3992
0605820,0,0,1747,1672
0605880,1,1,5696,5828
0605910,1,1,2400,8891
0605940,-1,1,846,653
0606000,-1,0,94,25
