chunk_id,year,country,type,xmin,xmax,ymin,ymax,color
3,2018,LT,Conventional thermal,0.013508419134138076,0.014169664698750988,0.5308897714157013,0.6374556242666749,#c04335
3,2018,HR,Renewable,0.1949294960668689,0.20214768594088453,0,0.11776607814607967,#187077
3,2018,HR,Nuclear,0,0,0.3021474749659697,0,#e7d1c5
3,2018,HR,Conventional thermal,0.014169664698750988,0.01664028873822547,0.5308897714157013,0.678524067464447,#c04335
3,2018,ME,Renewable,0.20214768594088453,0.20365964355402896,0,0.13346085247209583,#187077
3,2018,ME,Nuclear,0,0,0.3021474749659697,0,#e7d1c5
3,2018,ME,Conventional thermal,0.01664028873822547,0.017374666129328437,0.5308897714157013,0.7034745281228929,#c04335
3,2018,SE,Renewable,0.20365964355402896,0.27269846890058747,0,0.09867612958363971,#187077
3,2018,SE,Nuclear,0,0.07264985209530117,0.3021474749659697,0.38164494757579726,#e7d1c5
3,2018,SE,Conventional thermal,0.017374666129328437,0.025699603035940384,0.5308897714157013,0.6876674206806002,#c04335
3,2018,DK,Renewable,0.27269846890058747,0.28546879702617595,0,0.10218063090998952,#187077
3,2018,DK,Nuclear,0.07264985209530117,0.07264985209530117,0.3021474749659697,0,#e7d1c5
3,2018,DK,Conventional thermal,0.025699603035940384,0.03387781901101328,0.5308897714157013,0.6819194126959082,#c04335
3,2018,LV,Renewable,0.28546879702617595,0.28828439279900486,0,0.0791181006239924,#187077
3,2018,LV,Nuclear,0.07264985209530117,0.07264985209530117,0.3021474749659697,0,#e7d1c5
3,2018,LV,Conventional thermal,0.03387781901101328,0.035703824164214464,0.5308897714157013,0.7213336473913641,#c04335
3,2018,PT,Renewable,0.28828439279900486,0.31272965045840107,0,0.10885802954961438,#187077
3,2018,PT,Nuclear,0.07264985209530117,0.07264985209530117,0.3021474749659697,0,#e7d1c5
3,2018,PT,Conventional thermal,0.035703824164214464,0.05375379455440806,0.5308897714157013,0.6810841829692069,#c04335
3,2018,RO,Renewable,0.31272965045840107,0.33509564453355484,0,0.1007298911218345,#187077
3,2018,RO,Nuclear,0.07264985209530117,0.08468578463752927,0.3021474749659697,0.37830276429621307,#e7d1c5
3,2018,RO,Conventional thermal,0.05375379455440806,0.06700777502969019,0.5308897714157013,0.6806263767072148,#c04335
3,2018,ES,Renewable,0.33509564453355484,0.41873191953471506,0,0.10465653872499225,#187077
3,2018,ES,Nuclear,0.08468578463752927,0.14796442819532446,0.3021474749659697,0.3760376333165105,#e7d1c5
3,2018,ES,Conventional thermal,0.06700777502969019,0.13159168032022517,0.5308897714157013,0.6804979643966138,#c04335
3,2018,BA,Renewable,0.41873191953471506,0.4226021342110195,0,0.07935124497485467,#187077
3,2018,BA,Nuclear,0.14796442819532446,0.14796442819532446,0.3021474749659697,0,#e7d1c5
3,2018,BA,Conventional thermal,0.13159168032022517,0.13649835129216573,0.5308897714157013,0.6025054280577764,#c04335
3,2018,MK,Renewable,0.4226021342110195,0.4240890957788331,0,0.11183490457831732,#187077
3,2018,MK,Nuclear,0.14796442819532446,0.14796442819532446,0.3021474749659697,0,#e7d1c5
3,2018,MK,Conventional thermal,0.13649835129216573,0.1384809084917182,0.5308897714157013,0.6773907555938913,#c04335
3,2018,RS,Renewable,0.4240890957788331,0.43434038975156664,0,0.1092850551482796,#187077
3,2018,RS,Nuclear,0.14796442819532446,0.14796442819532446,0.3021474749659697,0,#e7d1c5
3,2018,RS,Conventional thermal,0.1384809084917182,0.15220544188843274,0.5308897714157013,0.6819779217034413,#c04335
3,2018,IT,Renewable,0.43434038975156664,0.5143990772601236,0,0.10614783771003833,#187077
3,2018,IT,Nuclear,0.14796442819532446,0.14796442819532446,0.3021474749659697,0,#e7d1c5
3,2018,IT,Conventional thermal,0.15220544188843274,0.2597687055973129,0.5308897714157013,0.6818874497773345,#c04335
3,2018,SI,Renewable,0.5143990772601236,0.5188137291419371,0,0.104960552864004,#187077
3,2018,SI,Nuclear,0.14796442819532446,0.15444487772106671,0.3021474749659697,0.376503183338715,#e7d1c5
3,2018,SI,Conventional thermal,0.2597687055973129,0.2625525493588474,0.5308897714157013,0.6791726266560555,#c04335
3,2018,TR,Renewable,0.5188137291419371,0.596156748412867,0,0.1068210912223485,#187077
3,2018,TR,Nuclear,0.15444487772106671,0.15444487772106671,0.3021474749659697,0,#e7d1c5
3,2018,TR,Conventional thermal,0.2625525493588474,0.3690568399342445,0.5308897714157013,0.6917185939896038,#c04335
3,2018,EL,Renewable,0.596156748412867,0.6091852193061837,0,0.11144074051636514,#187077
3,2018,EL,Nuclear,0.15444487772106671,0.15444487772106671,0.3021474749659697,0,#e7d1c5
3,2018,EL,Conventional thermal,0.3690568399342445,0.38915370777726965,0.5308897714157013,0.6828905768110439,#c04335
3,2018,FI,Renewable,0.6091852193061837,0.6259936266443297,0,0.09978345249824393,#187077
3,2018,FI,Nuclear,0.15444487772106671,0.17967179519441404,0.3021474749659697,0.3783090846837329,#e7d1c5
3,2018,FI,Conventional thermal,0.38915370777726965,0.40319687452035863,0.5308897714157013,0.6960496225980197,#c04335
3,2018,IE,Renewable,0.6259936266443297,0.6333880614851972,0,0.11283694977953183,#187077
