id,x,y,sourceRadius,targetRadius,color,sourceX,targetX,sourceY,targetY,index,vy,vx
1723050,181.43893538753304,269.16170677740604,1,1,#d5ece6,300,900,300,600,2525,-0.018790565607988818,-0.017717861852009964
1723070,265.47760304996723,158.22508112640068,2,2,#d5ece6,300,900,300,600,2526,-0.015249827737638739,-0.001032860397663655
1723090,220.84361009057017,341.61380814115097,1,1,#d5ece6,300,900,300,900,2527,0.011484918209977492,-0.008001797921659446
1723100,185.6006735111,901.831956663329,1,1,#b394c9,300,900,900,900,2528,-0.004733226714924921,0.0014481813253071068
1723160,253.33571234549092,323.21665819632926,1,1,#d5ece6,300,900,300,300,2529,-0.02828002634865754,0.008829645920381362
1723200,306.03413481459,698.2225537284714,1,1,#9ccadd,300,900,600,900,2530,0.0036167275643820608,0.0003708974092943785
1723250,383.5716440390618,167.99348505737996,1,1,#d5ece6,300,900,300,300,2531,-0.011682281176391291,0.007702041746314878
1723350,293.11813465114693,706.1285884154631,1,2,#9ccadd,300,900,600,900,2532,0.0034688333308944153,-0.0003056962681658258
1723460,316.53354491252355,635.7652994933543,2,2,#9ccadd,300,900,600,900,2533,0.00105215743636368,0.0011797655637753594
1723640,335.10910668195,237.09714445727516,1,1,#d5ece6,300,900,300,300,2534,-0.006953318255116421,-0.0012347957235361992
1723700,367.24950066974975,280.5776253653883,1,1,#d5ece6,300,900,300,900,2535,-0.04820209794728932,0.018800477835715163
1723730,384.11577502124396,307.7475243697183,1,1,#d5ece6,300,900,300,600,2536,0.003230702089904776,0.024507513934378628
1723850,390.4742251536307,656.6561816741092,1,1,#9ccadd,300,900,600,900,2537,0.0010999527575691278,0.002321870401693818
1723880,171.40155186107543,217.95154390526014,2,2,#d5ece6,300,900,300,900,2538,-0.006032034796932825,-0.010568406497580963
1723920,234.91288017266808,268.32043220776774,1,1,#d5ece6,300,900,300,600,2539,-0.008192091993210613,-0.009272370205496034
1723970,333.1967073224959,775.4516400095195,1,1,#b394c9,300,900,900,300,2540,-0.00386826595282908,0.0016351676182748227
1724000,352.5588551295344,550.1476747066961,1,1,#9ccadd,300,900,600,900,2541,-0.0008686014054393909,0.0021951690587024117
1724060,287.11350004640764,196.7870563325428,1,2,#d5ece6,300,900,300,600,2542,-0.015376837839130467,-0.0027712171345962507
1724090,235.89010512803398,666.3834437619136,2,2,#9ccadd,300,900,600,900,2543,0.00243746993812661,-0.002129318410614688
1724120,169.68262739125933,379.9466716207814,1,1,#d5ece6,300,900,300,300,2544,0.009475017653214455,-0.012379806739124208
1724270,196.28633912793308,411.27381150586393,1,1,#d5ece6,300,900,300,600,2545,0.011348019545920214,-0.010619191306283297
1724330,248.74625937299348,979.6494706040147,1,1,#b394c9,300,900,900,600,2546,-0.004270166522396302,-0.011427048299758607
1724390,278.53980021859445,177.03262493795927,1,1,#d5ece6,300,900,300,600,2547,-0.016847275029756473,-0.0004819175909673089
1724420,290.163420612664,636.2203430912056,1,1,#9ccadd,300,900,600,900,2548,0.002435017512799406,0.0007506851012064877
1724480,368.22199484287364,275.80478452847717,1,2,#d5ece6,300,900,300,600,2549,-0.005568288039255048,-0.007445052251842156
1724570,282.3735882464395,403.0419965887858,1,1,#d5ece6,300,900,300,600,2550,0.016293208061649644,-0.0004082111435122163
1724600,351.8411898314119,340.73965490981084,2,2,#d5ece6,300,900,300,600,2551,0.0038755217427587406,0.013575360466892972
1724650,293.1635026580391,323.10571395280795,1,1,#d5ece6,300,900,300,300,2552,-0.043768872661295755,-0.041209741795861
1724720,206.35783897478655,578.2881885272402,2,1,#9ccadd,300,900,600,600,2553,-0.0012718752690050548,-0.002844087460110055
1724750,301.6672551044225,192.26039673329626,1,1,#d5ece6,300,900,300,600,2554,-0.02340623041609139,0.014373946468213515
1724780,311.01058696153524,919.3410475773172,1,1,#b394c9,300,900,900,900,2555,0.0020828387822145913,0.0014007606682851965
1724870,289.21336329135033,225.15733842102088,1,1,#d5ece6,300,900,300,300,2556,0.003167738015590197,0.00667038556450657
1724900,344.68377753818805,249.241385734794,1,1,#d5ece6,300,900,300,300,2557,0.0016833841145046772,0.012708426893227943
1724940,371.7975813855709,545.5739568705462,2,2,#9ccadd,300,900,600,900,2558,-0.0013269465850338728,0.002241557205501859
1725000,312.37551154798075,144.9710103441503,1,1,#d5ece6,300,900,300,600,2559,-0.010904418616130899,0.00263734244239304
1725020,174.06412050892985,876.6437824826628,1,1,#b394c9,300,900,900,300,2560,-0.001106517930604519,-0.004374788184160948
1725050,205.80092323260192,382.51940322103815,2,2,#d5ece6,300,900,300,600,2561,0.009434406659546198,-0.011853525963757546
1725110,227.10427482413496,794.2342264639435,2,2,#b394c9,300,900,900,900,2562,-0.004019333336593227,-0.0021559266438966993
1725190,395.33950347567014,178.63167279028872,1,1,#d5ece6,300,900,300,300,2563,-0.00966521170021608,0.005980970963307349
1725260,224.20526472412612,242.65533539211634,1,1,#d5ece6,300,900,300,300,2564,-0.009913049025666818,0.01894090416544386
1725290,246.64118192266582,181.56681030766416,2,2,#d5ece6,300,900,300,900,2565,-0.01143098029144626,-0.008479209069055459
1725320,280.0839785602173,434.62140041936385,1,1,#d5ece6,300,900,300,600,2566,0.015236362839842555,-0.0047157825798031195
1725500,320.7092743790898,662.6947055148938,1,1,#9ccadd,300,900,600,900,2567,0.0036293637297035177,-0.0006928804393847998
1725590,254.9789736920575,244.59831472364436,1,1,#d5ece6,300,900,300,300,2568,-0.010439931831509324,-0.02372771618614091
1725620,210.3730453757946,623.7646543371549,1,1,#9ccadd,300,900,600,900,2569,0.00030317212927969127,-0.0021434198492703734
1725650,316.5137546061258,610.2533501621399,1,1,#9ccadd,300,900,600,900,2570,-0.00033670203965451847,0.0008304312392830302
1725680,425.78727034878193,217.60021876938384,1,1,#d5ece6,300,900,300,300,2571,-0.00753340753428183,0.011771602350993633
1725690,420.8120679151796,253.91765969176353,1,1,#d5ece6,300,900,300,600,2572,-0.0075036440192568455,0.014971508909874491
1725740,300.323788463907,384.54321249136717,1,1,#d5ece6,300,900,300,300,2573,0.012169917534242135,0.0055111934562281275
1725770,163.90446102413188,251.5613750747544,1,1,#d5ece6,300,900,300,300,2574,-0.00563811160600179,-0.012225369619441644
1725920,349.6236137736808,810.9757674762961,1,1,#b394c9,300,900,900,900,2575,-0.006373938688110045,-0.0008191062445150763
1726100,265.1382753864575,167.0309172479704,1,1,#d5ece6,300,900,300,600,2576,-0.015037818703441046,-0.003376009441289935
1726180,455.648826892837,298.88308836345715,1,1,#d5ece6,300,900,300,300,2577,-0.002679427567957571,0.013213424288312297
1726190,386.8553685878685,240.82605784244492,1,1,#d5ece6,300,900,300,300,2578,-0.012697428417458965,0.011139100227117265
1726250,221.31016956504067,270.13491797418317,1,1,#d5ece6,300,900,300,300,2579,0.003441003130028829,-0.017844019379909645
1726310,253.42906055308836,296.2239782392474,1,2,#d5ece6,300,900,300,900,2580,-0.0005391205400270668,-0.005441710098695463
1726340,431.74666644611773,323.65514071494044,1,1,#d5ece6,300,900,300,900,2581,-0.0013231548336345262,0.015959496253438375
1726370,392.38843798742965,179.1673129294564,1,1,#d5ece6,300,900,300,600,2582,-0.009341424502867637,0.006455290643661135
1726400,201.31748700951098,613.0733367828815,2,2,#9ccadd,300,900,600,900,2583,-0.00029528767901133694,-0.002914138596351565
1726430,257.83259948736793,801.2120045053271,1,1,#b394c9,300,900,900,900,2584,-0.004290458796054932,-0.0016769853386013334
1726490,389.033023482348,242.90553427242105,1,1,#d5ece6,300,900,300,600,2585,-0.009803898053143035,0.018514457216335718
1726550,428.6355603889359,225.05075641792536,1,1,#d5ece6,300,900,300,300,2586,-0.004199952748103017,0.008810382970222994
1726590,242.96494719724768,184.05559721630175,1,1,#d5ece6,300,900,300,600,2587,-0.011683392627820177,-0.0036717334065694846
1726610,387.4957408779014,332.86660448171426,1,1,#d5ece6,300,900,300,900,2588,0.0028181862269684777,0.013885704707017936
1726640,182.045443469306,373.8042259105496,1,1,#d5ece6,300,900,300,600,2589,0.008249049530394553,-0.015096370402023345
1726710,352.58157401987864,318.1943697014033,1,1,#d5ece6,300,900,300,300,2590,0.0023597839352011555,0.01371645256788708
1726760,397.0363008104881,258.09423441976537,1,1,#d5ece6,300,900,300,300,2591,0.004937956502555567,0.02136013088823464
1726800,242.6632878901424,167.02500085614307,2,2,#d5ece6,300,900,300,300,2592,-0.012691149291241531,-0.006665906586607401
1726820,290.23727212155364,852.5598711843049,1,1,#b394c9,300,900,900,900,2593,-0.010513838032193681,-0.05234630638750975
1726850,301.41839593331883,837.9976260113484,1,1,#b394c9,300,900,900,900,2594,-0.004144815123256781,-0.0028084299912221663
1726880,384.28976546526053,800.5866033719025,2,2,#b394c9,300,900,900,600,2595,-0.00292464141035298,0.0024947269272457815
1726970,248.31954366749844,911.4111703453083,1,1,#b394c9,300,900,900,900,2596,0.004015378820529101,0.003022760003530453
1727180,344.29660217194316,317.17211922859616,1,1,#d5ece6,300,900,300,300,2597,0.0037871164321353554,0.007852065751252676
1727210,389.49760452347255,261.28566428574186,1,1,#d5ece6,300,900,300,600,2598,0.01040526864557871,-0.008950357979574039
1727290,336.09207144633723,305.16079149291716,1,1,#d5ece6,300,900,300,300,2599,-0.002964013860343124,-0.0015510829456545278
1727300,292.1240661388145,356.76182508103494,1,1,#d5ece6,300,900,300,300,2600,0.0177297301272445,-0.004049023862160388
1727340,283.39376800522103,887.2996544017556,1,1,#b394c9,300,900,900,900,2601,0.0023920234709032444,-0.006466527460374706
1727360,327.8619188748242,674.0855078675925,1,1,#9ccadd,300,900,600,900,2602,0.0029209089633802066,0.0009854008128508229
1727390,427.6641504747891,246.54206120106522,1,1,#d5ece6,300,900,300,300,2603,-0.0002911009204867813,0.03782047146091025
1727450,349.7944068530641,549.0417489488192,1,1,#9ccadd,300,900,600,600,2604,-0.0011547532791540043,0.0007797323516679619
1727540,365.4074127242519,579.9109817234267,1,1,#9ccadd,300,900,600,900,2605,-0.00046332645990003403,0.003220866279257365
1727570,294.40155582345557,677.6927897913914,1,1,#9ccadd,300,900,600,900,2606,0.0031957769254041648,0.0004998983691148442
1727610,351.1027398982354,526.7516909303099,1,1,#9ccadd,300,900,600,900,2607,-0.0016815720779779233,0.0009326110121349354
1727710,258.8889555689125,570.1246556440979,3,3,#9ccadd,300,900,600,900,2608,-0.0017250455476282385,-0.0028326607571444225
1727720,269.675859767205,377.4060865463841,1,1,#d5ece6,300,900,300,300,2609,0.003821577746238308,0.0012014217477889792
1727740,277.3932598736739,435.6952502284987,1,1,#d5ece6,300,900,300,300,2610,0.013844504005163842,-0.0049780251283195465
1727780,321.59303366860775,300.1114582187457,1,1,#d5ece6,300,900,300,300,2611,-0.05727580217803216,0.020781687581017044
1727840,429.2068724053569,318.5011917493208,1,1,#d5ece6,300,900,300,300,2612,0.002202144555715787,0.015242267118677919
1727930,373.3848583748259,419.9606462751553,1,1,#d5ece6,300,900,300,600,2613,0.011211921333766707,0.005609247774462267
1727960,304.0727304205139,313.4808935297288,1,1,#d5ece6,300,900,300,300,2614,0.01429115988392611,-0.0022688347653004805
1727990,271.8711892762832,420.5637785505371,1,1,#d5ece6,300,900,300,300,2615,0.004533237659942258,-0.0022496505796022305
1728110,303.2819599013194,400.1368596105917,1,1,#d5ece6,300,900,300,300,2616,0.014978217467883685,-0.0003750921064636046
1728140,249.49906332132392,170.7032931472838,2,2,#d5ece6,300,900,300,600,2617,-0.011221329072642202,-0.006952226270002574
1728160,237.78404092681814,318.7335689765794,1,1,#d5ece6,300,900,300,300,2618,-0.0018133346936286827,0.01109561384831223
1728200,307.61522608505635,659.9104640797997,2,2,#9ccadd,300,900,600,600,2619,0.0014760794482103006,0.0006703406027680286
1728260,382.1723795272626,305.57102469456754,1,1,#d5ece6,300,900,300,300,2620,-0.0027681785225807808,0.004937901882120256
1728270,341.633415762727,340.26043644024315,1,1,#d5ece6,300,900,300,300,2621,0.012486486929219135,0.016505869334928727
1728500,203.24001541857118,860.1976909972976,1,1,#b394c9,300,900,900,900,2622,0.007272848993151105,-0.0033040613961873152
1728530,368.66127387645645,790.7332412647473,2,2,#b394c9,300,900,900,900,2623,-0.0038774332641270154,0.0022689284197356294
1728560,295.0768085761647,403.20301971816286,1,1,#d5ece6,300,900,300,300,2624,0.013407530073371839,-0.0033539672348363203
1728620,404.38467374549396,212.523354132415,2,3,#d5ece6,300,900,300,900,2625,-0.004864054355529622,0.012484160577788055
1728650,213.79479915088484,668.0764063525584,1,1,#9ccadd,300,900,600,600,2626,0.0017516368787998406,-0.0028156008608949444
1728700,324.78171108065,319.28014864745967,1,1,#d5ece6,300,900,300,900,2627,-0.19896128801570562,0.17530886696210074
1728810,322.63615743478385,209.61010631258003,1,1,#d5ece6,300,900,300,300,2628,-0.03136387774787131,0.026689912688306793
1728890,304.7504138437407,582.0497860195509,1,2,#9ccadd,300,900,600,600,2629,0.0013618570733615438,0.0028684536223551795
1728920,417.48814297640774,287.66481081033487,1,1,#d5ece6,300,900,300,600,2630,0.0025523387588038907,0.02341121291747984
1728980,283.56034933007993,434.40238942278614,1,1,#d5ece6,300,900,300,600,2631,0.01176083678469688,0.0005858043860834179
1729010,272.66372130594766,528.0691498242725,2,2,#9ccadd,300,900,600,900,2632,-0.0035847614385751386,-0.0006919037202840585
1729040,400.61082597789505,408.1309299147206,1,1,#d5ece6,300,900,300,600,2633,0.0072563986158953875,0.004483557289601882
1729100,353.4435307764986,172.28337040967006,1,1,#d5ece6,300,900,300,600,2634,-0.014722713335679656,0.0055848063504894425
1729130,390.39523283059674,425.63072802229453,1,1,#d5ece6,300,900,300,900,2635,0.01093534631024431,0.0027611163286084864
1729190,288.63674671857905,231.10663423758547,1,2,#d5ece6,300,900,300,900,2636,0.04655358407602931,0.05520657109568493
1729220,301.8833806060044,392.35068540391063,1,1,#d5ece6,300,900,300,900,2637,0.018646878456850206,-0.016192392378412978
1729250,289.67001867985545,774.5079174441286,2,2,#b394c9,300,900,900,900,2638,-0.0029805240231904587,0.00018471050740888705
1729280,350.0657677092073,836.983221536266,1,2,#b394c9,300,900,900,900,2639,-0.0030781969870944887,0.002201272126750545
1729310,402.77402176281174,385.1106021822808,1,1,#d5ece6,300,900,300,300,2640,0.008759616001626587,0.013487755307025028
1729340,286.0955786781784,295.48333760151434,1,1,#d5ece6,300,900,300,300,2641,-0.0006667368928106603,0.007295110690179141
1729420,369.7211330413487,317.7533705414985,1,1,#d5ece6,300,900,300,300,2642,0.0013670660040461648,0.007867369282773328
1729520,321.37894402000785,420.451222071748,1,1,#d5ece6,300,900,300,300,2643,0.01807139307588351,0.006519287884697547
1729670,414.1799556321946,385.97813727597935,1,1,#d5ece6,300,900,300,600,2644,0.00687930547381843,0.012369317408068766
1729700,401.8714372908559,329.79330666092113,1,1,#d5ece6,300,900,300,300,2645,0.0011608213838974922,0.014046071340878001
1729730,392.0655680814727,238.681455422312,1,1,#d5ece6,300,900,300,300,2646,-0.0019210145951954031,0.011745033726568344
1729760,295.8570878112477,599.3752889781714,1,2,#9ccadd,300,900,600,900,2647,-0.00247365042551296,0.001534102423027968
1729790,381.6721138823295,589.7573656360054,1,1,#9ccadd,300,900,600,900,2648,-0.009226684450830547,0.009746258345801883
1729890,397.77832075710756,370.623182673438,1,1,#d5ece6,300,900,300,300,2649,0.00895634483763277,0.010656195772921886
1729940,351.3843139991262,310.51021113293,1,1,#d5ece6,300,900,300,300,2650,0.011073300086195562,0.009880262079935897
1730060,365.50230713706475,240.4467319948342,1,1,#d5ece6,300,900,300,300,2651,-0.0038746323125363065,0.012407640520373022
1730160,329.1305822116146,181.49541359865125,1,1,#d5ece6,300,900,300,600,2652,-0.014741964628636691,0.003931151868912839
1730200,292.535384181289,390.0012545455317,1,1,#d5ece6,300,900,300,300,2653,0.01092160555619192,0.0009821926957795598
1730220,296.74754109004834,274.03011033866704,2,2,#d5ece6,300,900,300,900,2654,-0.00786707029699336,-0.005352296122442863
1730270,278.7488936680956,183.82451286917353,2,3,#d5ece6,300,900,300,900,2655,-0.012250030874568928,-0.0025413026835635296
1730300,307.39361002972123,219.693534412477,1,1,#d5ece6,300,900,300,600,2656,-0.007361265816380543,-0.0032516562502653648
1730330,272.6051648992802,347.611803081166,1,1,#d5ece6,300,900,300,600,2657,-0.00566129339405366,-0.010180398180791105
1730420,232.39199084403808,546.9853302967566,3,3,#9ccadd,300,900,600,900,2658,-0.0009141518764039242,-0.0013091518859964257
1730450,237.20091516849163,573.1148849290711,3,3,#9ccadd,300,900,600,900,2659,-0.00016605014290767793,-0.0028619799113884068
1730480,340.6879706704635,184.7817489679115,1,1,#d5ece6,300,900,300,300,2660,-0.014680776180454798,0.002881500894247535
1730510,410.0158041820482,884.4154923404529,1,1,#b394c9,300,900,900,900,2661,-0.0012202466240268926,0.004833580119581095
1730540,223.7655676320114,291.8999662112374,1,1,#d5ece6,300,900,300,300,2662,-0.0013712884484437641,-0.00535026644997972
1730570,291.65437924917467,420.70606285076195,1,1,#d5ece6,300,900,300,600,2663,0.01325326412889852,-0.0003218180318445263
1730600,319.80849933394103,432.26260907448966,1,1,#d5ece6,300,900,300,600,2664,0.014198163219653856,0.0026259856084985115
1730630,233.70635260213504,212.52980569426194,1,1,#d5ece6,300,900,300,300,2665,-0.00590488184428565,-0.007368503857903967
1730660,423.7624149166774,377.35733041614,1,1,#d5ece6,300,900,300,300,2666,0.008304807216949341,0.012904866230723844
1730750,264.4498285080901,446.3757130909936,1,1,#d5ece6,300,900,300,300,2667,0.018812249990120024,-0.0005565023379127466
1730780,350.08659812189626,256.17773064739004,1,1,#d5ece6,300,900,300,300,2668,-0.01011878357625431,-0.010471907114586973
1730810,186.2909485790875,864.684159052001,1,1,#b394c9,300,900,900,600,2669,-0.0008064003133236658,-0.003590141044326311
1730840,268.5842762485857,368.65164082290505,2,2,#d5ece6,300,900,300,600,2670,0.007835385103457475,-0.0020547121686268774
1730870,243.98633649522668,232.7269463442348,1,1,#d5ece6,300,900,300,300,2671,-0.004534646584078193,-0.015057924246822858
1730900,291.56272988478,189.4410758281551,1,1,#d5ece6,300,900,300,300,2672,-0.015769278417464037,-0.001691991898325202
